BUCKET,DIAS_MORA,DIAS_INCUMPLIMIENTO,MET_CALCULO,MARCA_DEFAULT,PDI,RANGO_SCORE_PN,seg_PD12mes,PD_12M_ACTUAL_FINAL,PD_12M_DESEMBOLSO_FINAL,PD_LIFETIME_ACTUAL_FINAL,PD_LIFETIME_DESEMBOLSO_FINAL,EXPOSICION_TOTAL_FA,VALOR_PROVISION,cobertura,target
1,0,,ECL_12M,0,0.50798,4.0,PN_CREDITOFACIL,0.058750813482204,0.058750813482204,0.2299116078234438,0.2535047419514179,35951970.392700054,1167303.8939583346,0.0324684261031587,Al dia
1,0,,ECL_12M,0,0.50798,5.0,PN_CREDITOFACIL,0.0659248096,0.0659248096,0.49550226354,0.40016442828,149294.7814,6399.4541621595,0.0428645536176758,Al dia
1,0,,ECL_12M,0,0.50798,5.0,PN_CREDITOFACIL,0.0859888821,0.0859888821,0.6600932271777779,0.4587421581888888,239785.6241,10473.978780556,0.0436805951977668,Al dia
1,0,,ECL_12M,0,0.50798,5.0,PN_CREDITOFACIL,0.0824060120166666,0.0824060120166666,0.62624372155,0.4574763070416666,198072.8417,8618.058109104,0.043509539395395,Al dia
1,0,,ECL_12M,0,0.50798,5.0,PN_CREDITOFACIL,0.0829178505952381,0.0829178505952381,0.4777771922619048,0.3617402257714285,444037.5971,19393.4052068548,0.0436751422255969,Al dia
1,0,,ECL_12M,0,0.50798,5.0,PN_CREDITOFACIL,0.0859888821,0.0859888821,0.51399877405,0.52302708415,16982.53,741.80701836,0.0436805951975353,Al dia
1,0,,ECL_12M,0,0.50798,5.0,PN_CREDITOFACIL,0.0859888821,0.0859888821,0.8040399903333334,0.7021430020666667,132131.5446,5771.5845125000005,0.0436805951975528,Al dia
1,0,,ECL_12M,0,0.50798,5.0,PN_CREDITOFACIL,0.0859888821,0.0859888821,0.8750141186999999,0.6075809971333334,69937.8517,3054.92698915,0.0436805951983509,Al dia
1,0,,ECL_12M,0,0.50798,5.0,PN_CREDITOFACIL,0.0759976898376915,0.0759976898376915,0.3083593423120723,0.2796699993952489,31033945.293899924,1329953.0903463997,0.0428547861946452,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1491549003,0.1491549003,0.8415146872,0.66243986035,108151.3824,8194.375205659999,0.0757676418351541,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1424620522076923,0.1424620522076923,0.6994936738538461,0.5353713570307691,642894.5388,48637.412937643,0.0756537970106692,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1466689852933334,0.1466689852933334,0.5402391717266667,0.35487116786,225177.9616,17010.154505584,0.0755409383081652,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1491549003,0.1491549003,0.7069946937333333,0.5291800371000001,52231.2254,3957.43677864,0.075767641833653,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1491549003,0.1491549003,0.8708156215999999,0.8441644990333333,135595.6471,10273.7624238,0.0757676418345733,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1491549003,0.1491549003,0.9280447989,0.8372015276,66141.57,5011.3907861,0.0757676418340235,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1429401128,0.1429401128,0.528530121275,0.362559307125,118347.5812,8942.995026859,0.0755655074331084,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1491549003,0.1491549003,0.4677049304,0.2260961437,2668.85,202.21247091,0.075767641834498,Al dia
1,0,,ECL_12M,0,0.50798,6.0,PN_CREDITOFACIL,0.1461249866645681,0.1461249866645681,0.4647836823198825,0.3278201689498237,31872290.100699965,2404045.9919913905,0.0754274633042008,Al dia
